Model,Train Size (years),Dataset,Error Type,1 day,7 days,14 days,28 days
Prophet,4.0,Daily - Imputation 1 Average,MAE,25.050019682240208,25.946350749276117,26.027627077734344,25.72396815971134
Prophet,4.0,Daily - Imputation 1 Average,RMSE,37.469796337031184,34.554023458323236,34.60510126507455,34.568434936250966
Prophet,4.0,Daily - Imputation 1 Average,R2,0.2853777506030942,0.481941291348953,0.4757801905664468,0.4854306481569972
Prophet,4.0,Daily - Imputation 1 Average,SMAPE,29.976886394640054,31.747344252950526,31.619820909777786,31.09828940164547
Prophet,4.0,Daily - Imputation 2 Neighbors,MAE,25.068478913944542,25.83701947050392,25.802778034974352,25.343836772499333
Prophet,4.0,Daily - Imputation 2 Neighbors,RMSE,37.49495058950015,34.50108610177235,34.48796958334484,34.33023255247752
Prophet,4.0,Daily - Imputation 2 Neighbors,R2,0.28441794702799095,0.4835274250785644,0.4793229531838855,0.49249775092115033
Prophet,4.0,Daily - Imputation 2 Neighbors,SMAPE,30.03106122363438,31.57050398455529,31.261079895893676,30.45548105227368
Prophet,4.0,Hourly - Imputation 1 Average,MAE,29.315030322091896,33.67305218271917,34.53366659193048,35.3492107034404
Prophet,4.0,Hourly - Imputation 1 Average,RMSE,43.304257445353024,45.792685922349186,46.502177116986054,48.16249604865116
Prophet,4.0,Hourly - Imputation 1 Average,R2,0.24631271780745978,0.36207868860704573,0.3360858658474952,0.2957674474038571
Prophet,4.0,Hourly - Imputation 1 Average,SMAPE,35.514388601383345,42.26450169241958,42.4526542843306,44.11091064091547
Prophet,4.0,Hourly - Imputation 2 Neighbors,MAE,29.31321339961153,33.5227954903465,34.458764697278816,35.05555009767494
Prophet,4.0,Hourly - Imputation 2 Neighbors,RMSE,43.29120690077203,45.70948621368602,46.32233958161523,47.936171479808806
Prophet,4.0,Hourly - Imputation 2 Neighbors,R2,0.25038130151088545,0.3645166095290471,0.34134337489460886,0.3024981692222064
Prophet,4.0,Hourly - Imputation 2 Neighbors,SMAPE,35.6697777045006,41.959359352637286,42.37041793274889,43.48784361977348
Prophet,1.0,Daily - Imputation 1 Average,MAE,35.10369357860021,38.11709049444435,42.90870462467644,51.84812258550035
Prophet,1.0,Daily - Imputation 1 Average,RMSE,48.468773600207236,52.47368316650972,57.176855537826455,66.12972458578685
Prophet,1.0,Daily - Imputation 1 Average,R2,0.20438787512218115,-0.04419493645293793,-0.23849401151736016,-0.6548685436401045
Prophet,1.0,Daily - Imputation 1 Average,SMAPE,41.58528150294572,46.65338221512766,53.79742817797986,68.66625027666798
Prophet,1.0,Daily - Imputation 2 Neighbors,MAE,35.083123426607045,38.05320795486852,42.6873960956784,51.69364399615289
Prophet,1.0,Daily - Imputation 2 Neighbors,RMSE,48.5368908744205,52.470404210379684,57.09195439406387,66.05686580584845
Prophet,1.0,Daily - Imputation 2 Neighbors,R2,0.20178896747914843,-0.043796434510045223,-0.23450168762190704,-0.6514032926697848
Prophet,1.0,Daily - Imputation 2 Neighbors,SMAPE,41.30461673484592,46.205419537015395,52.90980092026473,67.2532775022789
Prophet,1.0,Hourly - Imputation 1 Average,MAE,33.798325290228426,35.83219827058135,38.54879488402648,44.97577534653838
Prophet,1.0,Hourly - Imputation 1 Average,RMSE,49.317011593254755,52.49943325995986,56.48118453073443,64.5142324527899
Prophet,1.0,Hourly - Imputation 1 Average,R2,0.30618693105513484,0.0419788756163888,-0.11532421879925914,-0.4439726568169593
Prophet,1.0,Hourly - Imputation 1 Average,SMAPE,39.29199747508916,43.3185836706086,47.2143719926099,55.49035565121645
Prophet,1.0,Hourly - Imputation 2 Neighbors,MAE,33.94077349624772,35.92446546186639,38.66188599244388,45.158765716904476
Prophet,1.0,Hourly - Imputation 2 Neighbors,RMSE,49.50013313065594,52.69286214671138,56.693012044266695,64.79186919074891
Prophet,1.0,Hourly - Imputation 2 Neighbors,R2,0.3023271825832856,0.04100477423326421,-0.11648228607950695,-0.44755941787883
Prophet,1.0,Hourly - Imputation 2 Neighbors,SMAPE,39.477384780850514,43.41450227109678,47.16145810092922,55.34778542380231
Prophet,0.5,Daily - Imputation 1 Average,MAE,33.18035284786911,35.591016429151736,41.006199017264116,48.245077060691585
Prophet,0.5,Daily - Imputation 1 Average,RMSE,48.40912059038584,49.218204108227326,55.55484315044487,62.71285458243177
Prophet,0.5,Daily - Imputation 1 Average,R2,0.294767520859467,0.1494662252728709,0.005843605993046563,-0.2492891833496873
Prophet,0.5,Daily - Imputation 1 Average,SMAPE,37.70901655334231,45.54120604491067,52.268265948042455,63.14685834168833
Prophet,0.5,Daily - Imputation 2 Neighbors,MAE,33.02678694946628,35.35888134923672,40.82890781401377,48.30087016343494
Prophet,0.5,Daily - Imputation 2 Neighbors,RMSE,48.35119437051622,49.0855447443365,55.410448936693086,62.53235724062649
Prophet,0.5,Daily - Imputation 2 Neighbors,R2,0.2921919321927242,0.14838142496885232,0.004819553451229752,-0.2486012217242657
Prophet,0.5,Daily - Imputation 2 Neighbors,SMAPE,37.351586042011995,44.803217657833244,51.59510913415738,62.825914185199636
Prophet,0.5,Hourly - Imputation 1 Average,MAE,34.14553242593028,38.11511075898529,42.762210235069055,48.80116675551683
